ASVS Item #;Requirement;Exigence;Niveau 1;Niveau 2;Niveau 3;Test terminé?;Résultat
V11.12;Verify that the HTTP headers do not expose detailed version information of system components.;"Vérifier que les entêtes HTTP n'exposent pas d'informations détaillées
de version des composants du système.";N;Y;Y;;
V13.1;Verify that no malicious code is in any code that was either developed or modified in order to create the application.;"Vérifier qu'aucun code malicieux n'est présent dans l'ensemble du code
qui a été développé ou modifié pour créer l'application.";N;N;Y;;
V13.2;Verify that the integrity of interpreted code, libraries, executables, and configuration files is verified using checksums or hashes.;"Vérifier que l'intégrité du code interprété, bibliothèques,
exécutables, et fichiers de configuration est vérifiée en utilisant
des checksums ou hashés.";N;N;Y;;
V13.3;Verify that all code implementing or using authentication controls is not affected by any malicious code.;"Vérifier que tout code implémentant ou utilisant des contrôles
d'identification n'est pas affecté par du code malicieux.";N;N;Y;;
V13.4;Verify that all code implementing or using session management controls is not affected by any malicious code.;"Vérifier que tout code implémentant ou utilisant des contrôles de
gestion de session n'est pas affecté par du code malicieux.";N;N;Y;;
V13.5;Verify that all code implementing or using access controls is not affected by any malicious code.;"Vérifier que tout code implémentant ou utilisant des contrôles d'accès
de session n'est pas affecté par du code malicieux.";N;N;Y;;
V13.6;Verify that all input validation controls are not affected by any malicious code.;"Vérifier que tous les contrôles de validation d'entrée ne sont pass
affectés par du code malicieux.";N;N;Y;;
V13.7;Verify that all code implementing or using output validation controls is not affected by any malicious code.;"Vérifier que tous les contrôles de validation de sortie ne sont pass
affectés par du code malicieux.";N;N;Y;;
V13.8;Verify that all code supporting or using a cryptographic module is not affected by any malicious code.;"Vérifier que tout code supportant ou utilisant un module
cryptographique n'est pas affecté par du code malicieux.";N;N;Y;;
V13.9;Verify that all code implementing or using error handling and logging controls is not affected by any malicious code.;"Vérifier que tout code implémentant ou utilisant des contrôles de
gestion d'erreur ou journalisation n'est pas affecté par du code
malicieux.";N;N;Y;;
V13.10;Verify all malicious activity is adequately sandboxed.;"Vérifier que toute activité mlicieuse est correctement traitée dans un
bac à sable.";N;N;Y;;
V13.11;Verify that sensitive data is rapidly sanitized from memory as soon as it is no longer needed and handled in accordance to functions and techniques supported by the framework/library/operating system. ;"Vérifier que la donnée sensible est rapidement supprimée de la mémoire
dès qu'elle n'est plus nécessaire, et traitée selon les fonctions et
techniques supportés par le framework/bibliothèque/système
d'exploitation.";N;N;Y;;
V15.1;Verify the application processes or verifies all high value business logic flows in a trusted environment, such as on a protected and monitored server.;Vérifier que l'application traite et vérifie tous les flux métier de haute valeur dans un environnement de confiance, comme un serveur protégé et surveillé.;N;Y;Y;;
V15.2;Verify the application does not allow spoofed high value transactions, such as allowing Attacker User A to process a transaction as Victim User B by tampering with or replaying session, transaction state, transaction or user IDs.;Vérifier que l'application ne permet pas de transactions de haute valeur falsifiées, comme permettre à un utilisateur attaquant A de réaliser une transaction en tant qu'utilisateur victime B en manipulant ou rejouant une session, état de transaction, transaction ou IDs utilisateurs.;N;Y;Y;;
V15.3;Verify the application does not allow high value business logic parameters to be tampered with, such as (but not limited to): price, interest, discounts, PII, balances, stock IDs, etc.;Vérifier que l'application ne permet pas l'altération de paramètres métier de haute valeur, comme par exemple: prix, intérêts, réduction, informations personnelles, balances, stock, etc.;N;Y;Y;;
V15.4;Verify the application has defensive measures to protect against repudiation attacks, such as verifiable and protected transaction logs, audit trails or system logs, and in highest value systems real time monitoring of user activities and transactions for anomalies.;"Vérifier que l'application possède des mesures défensives de protection contre les attaques par répudiation, tel que des journaux de transactions vérifiables et protégés, traces d'audit ou logs systèmes, et sur les systèmes critiques; surveillance temps réel des activités utilisateurs et transactions pour les anomalies.";N;Y;Y;;
V15.5;Verify the application protects against information disclosure attacks, such as direct object reference, tampering, session brute force or other attacks.;Vérifier que l'application protège contre contre les attaques de divulgation d'informations, comme les références directes aux objets, falsification, attaques par force brute ou autres.;N;Y;Y;;
V15.6;Verify the application has sufficient detection and governor controls to protect against brute force (such as continuously using a particular function) or denial of service attacks.;Vérifier que l'application a des contrôles de détection et gouvernance suffisants pour prévenir contre les attaques par force brute (comme l'utilisation ininterrompue d'une fonction) ou déni de services.;N;Y;Y;;
V15.7;Verify the application has sufficient access controls to prevent elevation of privilege attacks, such as allowing anonymous users from accessing secured data or secured functions, or allowing users to access each other’s details or using privileged functions.;"
Vérifier que l'application a des contrôles d'accès suffisants pour empêcher les attaques par élévation de privilèges, comme permettre à des utilisateurs anonymes d'accéder à des données ou fonctions sécurisées, ou permettre aux utilisateurs d'accéder aux informations des autres ou utiliser des fonctions privilégiées.";N;Y;Y;;
V15.8;Verify the application will only process business logic flows in sequential step order, with all steps being processed in realistic human time, and not process out of order, skipped steps, process steps from another user, or too quickly submitted transactions.;Vérifier que l'application ne traitera les flux métier uniquement dans un ordre séquentiel, avec chaque étape étant traitée en une durée réaliste pour un humain, et ne traite pas dans le désordre, des étapes sautées, des étapes d'un autre utilisateur, ou des transactions soumises trop rapidement.;N;Y;Y;;
V15.9;Verify the application has additional authorization (such as step up or adaptive authentication) for lower value systems, and / or segregation of duties for high value applications to enforce anti-fraud controls as per the risk of application and past fraud.;Vérifier que l'application implémente un mécanisme d'autorisation supplémentaire (comme une autentification augmentée ou adaptative) pour les systèmes de faible valeur, et / ou une séparation des taches pour les applications à forte valeur pour imposer des contrôles anti-fraude en fonction du risque.;N;Y;Y;;
V15.10;Verify the application has business limits and enforces them in a trusted location (as on a protected server) on a per user, per day or daily basis, with configurable alerting and automated reactions to automated or unusual attack. Examples include (but not limited to): ensuring new SIM users don’t exceed $10 per day for a new phone account, a forum allowing more than 100 new users per day or preventing posts or private messages until the account has been verified, a health system should not allow a single doctor to access more patient records than they can reasonably treat in a day, or a small business finance system allowing more than 20 invoice payments or $1000 per day across all users. In all cases, the business limits and totals should be reasonable for the business concerned. The only unreasonable outcome is if there are no business limits, alerting or enforcement.;"Vérifier que l'application possède des limites métier et les impose depuis un lieu sûr (comme sur un serveur protégé), pour chaque utilisateur, chaque jour, avec des mécanismes d'alertes et réactions automatiques à des attaques automatisées ou non-usuelles. Quelques exemples: s'assurer que les nouveaux utilisateurs d'une carte SIM ne dépassent pas 10€ par jour pour un nouveau compte téléphonique, un forum permettant plus de 
100 nouveaux utilisateurs par jour ou empêchant les nouvelles publications ou messages privés vant que le compte n'ait été vérifié, un système de santé ne doit pas permettre à un unique docteur d'accéder à plus d'enregistrements de données patient qu'il ne devrait raisonnablement durant une journée, ou un petit sytème financier permettant plus de 20 paiements de factures ou 1000€ par jour pour tous les utilisateurs. Dans tous les cas, les plafonds et totaux doivent être adaptés à l'activité concernée. Le seul cas inacceptable est l'absence de toute limite, alerte ou mise en application.";N;Y;Y;;
V16.1;Verify that URL redirects and forwards do not include unvalidated data.;Vérifier que les redirections et transferts d'URL n'incluent pas de données non validées.;Y;Y;Y;;
V16.2;Verify that file names and path data obtained from untrusted sources is canonicalized to eliminate path traversal attacks.;Vérifier que les noms de fichiers et chemins obtenus depuis des sources non fiables sont canonicalisés pour éliminer les attaques par traversée de répertoire.;Y;Y;Y;;
V16.3;Verify that files obtained from untrusted sources are scanned by antivirus scanners to prevent upload of known malicious content.;Vérifier que les fichiers obtenus depuis des sources non fiables sont scannés par des antivirus pour empêcher le téléversement de contenu malicieux connu.;Y;Y;Y;;
V16.4;Verify that parameters obtained from untrusted sources are not used in manipulating filenames, pathnames or any file system object without first being canonicalized and input validated to prevent local file inclusion attacks.;Vérifier que les paramètres obtenus depuis des sources non fiables ne sont pas utilisés pour manipuler des noms de fichiers, chemins ou tout autre objet système de fichier sans être canonicalisé et validé au préalable pour empêcher les attaques par inclusion de fichier local.;Y;Y;Y;;
V16.5;Verify that parameters obtained from untrusted sources are canonicalized, input validated, and output encoded to prevent remote file inclusion attacks, particularly where input could be executed, such as header, source, or template inclusion;Vérifier que les paramètres obtenus depuis des sources non fiables sont canonicalisés, validés en entrée, et encodés en sortie pour empêcher les attaques par inclusion de fichier distant, en particulier où l'entrée peut être exécutée, comme une inclusion d'entête, source ou template.;Y;Y;Y;;
V16.6;Verify remote IFRAMEs and HTML5 cross-domain resource sharing does not allow inclusion of arbitrary remote content.;Vérifier que le partage de ressources inter-domaines IFRAMEs et HTML5 distantes ne permet pas l'inclusion de contenu distant arbitraire.;Y;Y;Y;;
V16.7;Verify that files obtained from untrusted sources are stored outside the webroot.;Vérifier que les fichiers obtenus depuis des source non fiables sont stockées en dehors de la racine web.;N;Y;Y;;
V16.8;Verify that web or application server is configured by default to deny access to remote resources or systems outside the web or application server.;Vérifier que le serveur web ou applicatif est configuré par défaut pour refuser l'accès à des ressources ou systèmes distants en dehors du serveur web ou applicatif.;N;Y;Y;;
V16.9;Verify the application code does not execute uploaded data obtained from untrusted sources.;Vérifier que le code de l'application n'exécute pas des données téléversées obtenues depuis des sources non fiables.;N;Y;Y;;
V16.10;Verify if Flash, Silverlight or other rich internet application (RIA) cross domain resource sharing configuration is configured to prevent unauthenticated or unauthorized remote access.;Vérifier si la configuration de partage de ressources inter-domaines Flash, Silverlight ou autre RIA (rich internet application) est configurée pour empêcher des accès distants non authentifiés ou non autorisés.;N;Y;Y;;
V17.1;Verify that the client validates SSL certificates;Vérifier que le client valide les certificats SSL.;Y;Y;Y;;
V17.2;Verify that unique device ID (UDID) values are not used as security controls.;Vérifier que des valeurs uniques d'identifiants de périphériques (UDID) ne sont utilisées comme contrôles de sécurité.;Y;Y;Y;;
V17.3;Verify that the mobile app does not store sensitive data onto shared resources on the device (e.g. SD card or shared folders);Vérifier que l'application mobile ne stocke pas de données sensibles sur des ressources partagées sur le périphérique (par ex. carte SD ou répertoire partagé);Y;Y;Y;;
V17.4;Verify that sensitive data is not stored in SQLite database on the device.;Vérifier que les données sensibles ne sont pas stockées dans une base de sonnées SQLite sur le périphérique.;Y;Y;Y;;
V17.5;Verify that secret keys or passwords are not hard-coded in the executable.;Vérifier que des clés secrètes ou mots de passe ne sont pas codés en dur dans l'exécutable.;N;Y;Y;;
V17.6;Verify that the mobile app prevents leaking of sensitive data via auto-snapshot feature of iOS.;Vérifier que l'application mobile empêche la fuite de données sensibles via la fonctionnalité auto-snapshot d'iOS.;N;Y;Y;;
V17.7;Verify that the app cannot be run on a jailbroken or rooted device.;Vérifier que l'application ne peut pas être exécutée sur un périphérique jailbreaké ou rooté.;N;Y;Y;;
V17.8;Verify that the session timeout is of a reasonable value.;Vérifier que le timeout de session est d'une durée raisonnable.;N;Y;Y;;
V17.9;Verify the permissions being requested as well as the resources that it is authorized to access (i.e. AndroidManifest.xml, iOS Entitlements) .;Vérifier les permissions demandées, ainsi que les ressources auxquelles il est possible d'accéder (par ex. AndroidManifest.xml, iOS Entitlements).;N;Y;Y;;
V17.10;Verify that crash logs do not contain sensitive data.;Vérifier que les journaux de plantage ne contiennent pas de données sensibles.;N;Y;Y;;
V17.11;Verify that the application binary has been obfuscated.;Vérifier que le binaire de l'application a été obfusqué.;N;N;Y;;
V17.12;Verify that all test data has been removed from the app container (.ipa, .apk, .bar).;Vérifier que toutes les données de test ont été supprimées du container de l'application (.ipa, .apk, .bar).;N;Y;Y;;
V17.13;Verify that the application does not log sensitive data to the system log or filesystem.;Vérifier que l'application ne logue pas de données sensibles dans les journaux systèmes ou système de fichiers.;N;Y;Y;;
V17.14;Verify that the application does not enable autocomplete for sensitive text input fields, such as passwords, personal information or credit cards.;Vérifier que l'application n'active pas autocomplete pour les champs de saisie de texte sensibles, comme les mots de passe, informations personelles ou cartes de crédit.;N;Y;Y;;
V17.15;Verify that the mobile app implements certificate pinning to prevent the proxying of app traffic.;Vérifier que l'application mobile implémente le pinning de certificat pour empêcher le traffic applicatif d'être proxifié.;N;N;Y;;
V17.16;"Verify no misconfigurations are present in the configuration files (Debugging flags set, world readable/writable permissions) and that, by default, configuration settings are set to their safest/most secure
Verify no misconfigurations are present in the configuration files (Debugging flags set, world readable/writable permissions) and that, by default, configuration settings are set to their safest/most secure
value.
";Vérifier qu'aucune mauvaise configuration n'est présente dans les fichiers de configuration (drapeau de déboguage, permissions de lecture/écriture pour tout le monde) et que, par défaut, les paramètres de configuration sont définis à leur niveau le plus sûr/sécurisé.;N;N;Y;;
V17.17;Verify any 3rd-party libraries in use are up to date, contain no known vulnerabilities.;Vérifier que toute bibliothèque tierse est à jour, et ne contient aucune vulnérabilité connue.;N;N;Y;;
V17.18;Verify that web data, such as HTTPS traffic, is not cached.;Vérifier que les données web, comme le traffic HTTPS, ne sont pas mises en cache.;N;N;Y;;
V17.19;Verify that the query string is not used for sensitive data. Instead, a POST request via SSL should be used with a CSRF token.;Vérifier que la chaîne de requête n'est pas utilisée pour des données sensibles. Une requête POST via SSL devrait être utilisée avec un jeton CSRF.;N;N;Y;;
V17.20;Verify that, if applicable, any personal account numbers are truncated prior to storing on the device.;Vérifier que, quand cela est possible, tout numéro de compte personnel est tronqué avant d'être stocké sur le périphérique.;N;N;Y;;
V17.21;Verify that the application makes use of Address Space Layout Randomization (ASLR).;Vérifier que l'application utilise l'ASLR (Address Space Layout Randomization).;N;N;Y;;
V17.22;Verify that data logged via the keyboard (iOS) does not contain credentials, financial information or other sensitive data.;Vérifier que les données journalisées via le clavier (iOS) ne contiennent pas d'informations d'authentification, données financières ou autres informations sensibles.;N;N;Y;;
V17.23;If an Android app, verify that the app does not create files with permissions of MODE_WORLD_READABLE or MODE_WORLD_WRITABLE;"Pour une application Android; vérifier que l'application ne crée pas de fichiers avec les permissions MODE_WORLD_READABLE ou MODE_WORLD_WRITABLE.";N;N;Y;;
V17.24;Verify that sensitive data is stored in a cryptographically secure manner (even when stored in the iOS keychain).;Vérifier que les données sensibles sont stockées d'une manière sécurisée cryptographiquement (même si stockées dans le keychain iOS).;N;N;Y;;
V17.25;Verify that anti-debugging and reverse engineering mechanisms are implemented in the app.;Vérifier que des mécanismes anti-déboguage et anti ingénierie inverse sont implémentés dans l'application.;N;N;Y;;
V17.26;Verify that the app does not export sensitive activities, intents, content providers etc. on Android.;Vérifier que l'application n'exporte pas d'activités sensibles, intentions, fournisseurs de contenu, etc. sur Android.;N;N;Y;;
V17.27;Verify that mutable structures have been used for sensitive strings such as account numbers and are overwritten when not used. (Mitigate damage from memory analysis attacks).;Vérifier que des structures mutables ont été utilisées pour les chaînes sensibles comme les numéros de comptes et sont écrasés quand non utilisés. (Mitige le daumage en cas d'attaques par analyse mémoire).;N;N;Y;;
V17.28;Verify that any exposed intents, content providers and broadcast receivers perform full data validation on input (Android).;Vérifier que toute intention exposée, fournisseur de contenu et récepteur de radiodiffusion réalise une validation de donnée complète en entrée (Android).;N;N;Y;;
